ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60601,18,43947,43953,13,51,89,347.5,71,295,484,2010.2,0.2,0.2,1,4,6.8,27.3,14675,60601-18,POINT (-87.622844 41.886262)
60601,19,43954,43960,6,57,41,388.4,77,372,525,2534.9,0.1,0.2,1,5,6.8,34.1,14675,60601-19,POINT (-87.622844 41.886262)
60601,14,43919,43925,4,26,27,177.2,21,100,143,681.4,0.2,0.3,0,0,0,0,14675,60601-14,POINT (-87.622844 41.886262)
60601,23,43982,43988,1,63,7,429.3,72,694,491,4729.1,0,0.1,1,6,6.8,40.9,14675,60601-23,POINT (-87.622844 41.886262)
60601,22,43975,43981,1,62,7,422.5,91,622,620,4238.5,0,0.1,0,5,0,34.1,14675,60601-22,POINT (-87.622844 41.886262)
60601,15,43926,43932,4,30,27,204.4,37,137,252,933.6,0.1,0.2,1,1,6.8,6.8,14675,60601-15,POINT (-87.622844 41.886262)
60601,16,43933,43939,3,33,20,224.9,41,178,279,1212.9,0.1,0.2,1,2,6.8,13.6,14675,60601-16,POINT (-87.622844 41.886262)
60601,21,43968,43974,2,61,14,415.7,80,531,545,3618.4,0,0.1,0,5,0,34.1,14675,60601-21,POINT (-87.622844 41.886262)
60601,12,43905,43911,9,13,61,88.6,32,40,218,272.6,0.3,0.3,0,0,0,0,14675,60601-12,POINT (-87.622844 41.886262)
60601,25,43996,44002,3,69,20,470.2,93,881,634,6003.4,0,0.1,0,6,0,40.9,14675,60601-25,POINT (-87.622844 41.886262)
60601,20,43961,43967,2,59,14,402,79,451,538,3073.3,0,0.1,0,5,0,34.1,14675,60601-20,POINT (-87.622844 41.886262)
60601,17,43940,43946,5,38,34,258.9,46,224,314,1526.4,0.1,0.2,1,3,6.8,20.4,14675,60601-17,POINT (-87.622844 41.886262)
60601,24,43989,43995,3,66,20,449.7,94,788,640,5369.7,0,0.1,0,6,0,40.9,14675,60601-24,POINT (-87.622844 41.886262)
60601,13,43912,43918,9,22,61,149.9,39,79,266,538.3,0.2,0.3,0,0,0,0,14675,60601-13,POINT (-87.622844 41.886262)
60602,20,43961,43967,0,7,0,562.7,12,69,965,5546.6,0,0.1,0,0,0,0,1244,60602-20,POINT (-87.628309 41.883136)
60602,24,43989,43995,0,10,0,803.9,15,135,1206,10852.1,0,0.1,0,0,0,0,1244,60602-24,POINT (-87.628309 41.883136)
60602,16,43933,43939,2,5,161,401.9,10,23,804,1848.9,0.2,0.2,0,0,0,0,1244,60602-16,POINT (-87.628309 41.883136)
60602,19,43954,43960,2,7,161,562.7,15,57,1206,4582,0.1,0.1,0,0,0,0,1244,60602-19,POINT (-87.628309 41.883136)
60602,23,43982,43988,0,10,0,803.9,14,120,1125,9646.3,0,0.1,0,0,0,0,1244,60602-23,POINT (-87.628309 41.883136)
60602,22,43975,43981,1,10,80,803.9,21,106,1688,8520.9,0,0.1,0,0,0,0,1244,60602-22,POINT (-87.628309 41.883136)
60602,17,43940,43946,0,5,0,401.9,14,37,1125,2974.3,0,0.1,0,0,0,0,1244,60602-17,POINT (-87.628309 41.883136)
60602,21,43968,43974,2,9,161,723.5,16,85,1286,6832.8,0.1,0.1,0,0,0,0,1244,60602-21,POINT (-87.628309 41.883136)
60602,18,43947,43953,0,5,0,401.9,5,42,402,3376.2,0,0.1,0,0,0,0,1244,60602-18,POINT (-87.628309 41.883136)
60602,25,43996,44002,0,10,0,803.9,13,148,1045,11897.1,0,0.1,0,0,0,0,1244,60602-25,POINT (-87.628309 41.883136)
60603,18,43947,43953,1,5,85,425.9,10,29,852,2470.2,0.1,0.2,0,0,0,0,1174,60603-18,POINT (-87.625473 41.880112000000004)
60603,19,43954,43960,0,5,0,425.9,5,34,426,2896.1,0,0.1,0,0,0,0,1174,60603-19,POINT (-87.625473 41.880112000000004)
60603,23,43982,43988,0,8,0,681.4,18,78,1533,6644,0,0.1,0,0,0,0,1174,60603-23,POINT (-87.625473 41.880112000000004)
60603,22,43975,43981,1,8,85,681.4,7,60,596,5110.7,0.1,0.1,0,0,0,0,1174,60603-22,POINT (-87.625473 41.880112000000004)
60603,21,43968,43974,1,7,85,596.3,14,53,1192,4514.5,0.1,0.1,0,0,0,0,1174,60603-21,POINT (-87.625473 41.880112000000004)
60603,25,43996,44002,0,8,0,681.4,12,100,1022,8517.9,0,0.1,0,0,0,0,1174,60603-25,POINT (-87.625473 41.880112000000004)
60603,20,43961,43967,1,6,85,511.1,5,39,426,3322,0.2,0.2,0,0,0,0,1174,60603-20,POINT (-87.625473 41.880112000000004)
60603,24,43989,43995,0,8,0,681.4,10,88,852,7495.7,0,0.1,0,0,0,0,1174,60603-24,POINT (-87.625473 41.880112000000004)
60604,24,43989,43995,1,14,128,1790.3,7,96,895,12276.2,0.1,0.1,0,0,0,0,782,60604-24,POINT (-87.62902900000002 41.878153)
60604,20,43961,43967,1,12,128,1534.5,11,58,1407,7416.9,0.1,0.2,0,0,0,0,782,60604-20,POINT (-87.62902900000002 41.878153)
60604,23,43982,43988,0,13,0,1662.4,7,89,895,11381.1,0,0.1,0,0,0,0,782,60604-23,POINT (-87.62902900000002 41.878153)
60604,19,43954,43960,3,11,384,1406.6,12,47,1534,6010.2,0.2,0.2,0,0,0,0,782,60604-19,POINT (-87.62902900000002 41.878153)
60604,17,43940,43946,1,5,128,639.4,9,23,1151,2941.2,0.1,0.2,0,0,0,0,782,60604-17,POINT (-87.62902900000002 41.878153)
60604,22,43975,43981,1,13,128,1662.4,16,82,2046,10485.9,0.1,0.2,0,0,0,0,782,60604-22,POINT (-87.62902900000002 41.878153)
60604,18,43947,43953,3,8,384,1023,12,35,1534,4475.7,0.2,0.2,0,0,0,0,782,60604-18,POINT (-87.62902900000002 41.878153)
60604,21,43968,43974,0,12,0,1534.5,8,66,1023,8439.9,0,0.2,0,0,0,0,782,60604-21,POINT (-87.62902900000002 41.878153)
60604,25,43996,44002,0,14,0,1790.3,14,110,1790,14066.5,0,0.1,0,0,0,0,782,60604-25,POINT (-87.62902900000002 41.878153)
60605,18,43947,43953,11,116,40,421.5,156,698,567,2536.4,0.1,0.2,1,1,3.6,3.6,27519,60605-18,POINT (-87.623449 41.867824)
60605,23,43982,43988,4,155,14,563.2,209,1584,760,5756,0,0.1,0,1,0,3.6,27519,60605-23,POINT (-87.623449 41.867824)
60605,14,43919,43925,11,49,40,178.1,64,247,233,897.6,0.2,0.2,0,0,0,0,27519,60605-14,POINT (-87.623449 41.867824)
60605,19,43954,43960,9,125,33,454.2,137,835,498,3034.3,0.1,0.2,0,1,0,3.6,27519,60605-19,POINT (-87.623449 41.867824)
60605,15,43926,43932,12,61,44,221.7,85,332,309,1206.4,0.1,0.2,0,0,0,0,27519,60605-15,POINT (-87.623449 41.867824)
60605,22,43975,43981,10,151,36,548.7,213,1375,774,4996.5,0,0.1,0,1,0,3.6,27519,60605-22,POINT (-87.623449 41.867824)
60605,16,43933,43939,25,86,91,312.5,105,437,382,1588,0.2,0.2,0,0,0,0,27519,60605-16,POINT (-87.623449 41.867824)
60605,21,43968,43974,10,141,36,512.4,181,1162,658,4222.5,0.1,0.1,0,1,0,3.6,27519,60605-21,POINT (-87.623449 41.867824)
60605,25,43996,44002,6,163,22,592.3,313,2145,1137,7794.6,0,0.1,0,1,0,3.6,27519,60605-25,POINT (-87.623449 41.867824)
60605,17,43940,43946,19,105,69,381.6,105,542,382,1969.5,0.2,0.2,0,0,0,0,27519,60605-17,POINT (-87.623449 41.867824)
60605,12,43905,43911,19,22,69,79.9,82,99,298,359.8,0.2,0.2,0,0,0,0,27519,60605-12,POINT (-87.623449 41.867824)
60605,24,43989,43995,2,157,7,570.5,248,1832,901,6657.2,0,0.1,0,1,0,3.6,27519,60605-24,POINT (-87.623449 41.867824)
60605,20,43961,43967,6,131,22,476,146,981,530,3564.8,0,0.1,0,1,0,3.6,27519,60605-20,POINT (-87.623449 41.867824)
60605,13,43912,43918,16,38,58,138.1,84,183,305,665,0.2,0.2,0,0,0,0,27519,60605-13,POINT (-87.623449 41.867824)
60606,15,43926,43932,2,7,64,225.7,27,71,871,2289.6,0.1,0.1,0,0,0,0,3101,60606-15,POINT (-87.63676 41.882634)
60606,24,43989,43995,0,21,0,677.2,69,621,2225,20025.8,0,0,0,0,0,0,3101,60606-24,POINT (-87.63676 41.882634)
60606,20,43961,43967,0,20,0,645,78,286,2515,9222.8,0,0.1,0,0,0,0,3101,60606-20,POINT (-87.63676 41.882634)
60606,16,43933,43939,7,14,226,451.5,26,97,838,3128,0.3,0.1,0,0,0,0,3101,60606-16,POINT (-87.63676 41.882634)
60606,23,43982,43988,1,21,32,677.2,85,552,2741,17800.7,0,0,0,0,0,0,3101,60606-23,POINT (-87.63676 41.882634)
60606,19,43954,43960,1,20,32,645,41,208,1322,6707.5,0,0.1,0,0,0,0,3101,60606-19,POINT (-87.63676 41.882634)
60606,17,43940,43946,3,17,97,548.2,36,133,1161,4288.9,0.1,0.1,0,0,0,0,3101,60606-17,POINT (-87.63676 41.882634)
60606,22,43975,43981,0,20,0,645,110,467,3547,15059.7,0,0,0,0,0,0,3101,60606-22,POINT (-87.63676 41.882634)
60606,18,43947,43953,2,19,64,612.7,34,167,1096,5385.4,0.1,0.1,0,0,0,0,3101,60606-18,POINT (-87.63676 41.882634)
60606,21,43968,43974,0,20,0,645,71,357,2290,11512.4,0,0.1,0,0,0,0,3101,60606-21,POINT (-87.63676 41.882634)
60606,25,43996,44002,0,21,0,677.2,83,704,2677,22702.4,0,0,0,0,0,0,3101,60606-25,POINT (-87.63676 41.882634)
60606,14,43919,43925,1,5,32,161.2,11,44,355,1418.9,0.1,0.1,0,0,0,0,3101,60606-14,POINT (-87.63676 41.882634)
60607,13,43912,43918,28,43,95,145.3,119,199,402,672.5,0.2,0.2,0,0,0,0,29591,60607-13,POINT (-87.652727 41.876104)
60607,18,43947,43953,33,318,112,1074.7,128,1017,433,3436.9,0.3,0.3,1,3,3.4,10.1,29591,60607-18,POINT (-87.652727 41.876104)
60607,23,43982,43988,3,362,10,1223.3,175,1915,591,6471.6,0,0.2,0,4,0,13.5,29591,60607-23,POINT (-87.652727 41.876104)
60607,19,43954,43960,14,332,47,1122,163,1180,551,3987.7,0.1,0.3,1,4,3.4,13.5,29591,60607-19,POINT (-87.652727 41.876104)
60607,14,43919,43925,27,70,91,236.6,86,285,291,963.1,0.3,0.2,0,0,0,0,29591,60607-14,POINT (-87.652727 41.876104)
60607,15,43926,43932,166,236,561,797.5,255,540,862,1824.9,0.7,0.4,1,1,3.4,3.4,29591,60607-15,POINT (-87.652727 41.876104)
60607,22,43975,43981,3,359,10,1213.2,181,1740,612,5880.2,0,0.2,0,4,0,13.5,29591,60607-22,POINT (-87.652727 41.876104)
60607,16,43933,43939,32,268,108,905.7,118,658,399,2223.6,0.3,0.4,0,1,0,3.4,29591,60607-16,POINT (-87.652727 41.876104)
60607,21,43968,43974,14,356,47,1203.1,201,1559,679,5268.5,0.1,0.2,0,4,0,13.5,29591,60607-21,POINT (-87.652727 41.876104)
60607,25,43996,44002,8,377,27,1274,286,2458,966,8306.6,0,0.2,0,4,0,13.5,29591,60607-25,POINT (-87.652727 41.876104)
60607,12,43905,43911,12,15,41,50.7,72,80,243,270.4,0.2,0.2,0,0,0,0,29591,60607-12,POINT (-87.652727 41.876104)
60607,17,43940,43946,17,285,57,963.1,231,889,781,3004.3,0.1,0.3,1,2,3.4,6.8,29591,60607-17,POINT (-87.652727 41.876104)
60607,24,43989,43995,7,369,24,1247,257,2172,868,7340.1,0,0.2,0,4,0,13.5,29591,60607-24,POINT (-87.652727 41.876104)
60607,20,43961,43967,10,342,34,1155.8,178,1358,602,4589.2,0.1,0.3,0,4,0,13.5,29591,60607-20,POINT (-87.652727 41.876104)
60608,20,43961,43967,171,1243,216,1569.3,741,4011,936,5064.1,0.2,0.3,4,37,5.1,46.7,79205,60608-20,POINT (-87.670366 41.849879)
60608,24,43989,43995,32,1569,40,1980.9,713,6551,900,8270.9,0,0.2,9,60,11.4,75.8,79205,60608-24,POINT (-87.670366 41.849879)
60608,14,43919,43925,74,165,93,208.3,186,480,235,606,0.4,0.3,1,1,1.3,1.3,79205,60608-14,POINT (-87.670366 41.849879)
60608,15,43926,43932,112,277,141,349.7,315,795,398,1003.7,0.4,0.3,3,4,3.8,5.1,79205,60608-15,POINT (-87.670366 41.849879)
60608,19,43954,43960,196,1072,248,1353.4,726,3270,917,4128.5,0.3,0.3,8,33,10.1,41.7,79205,60608-19,POINT (-87.670366 41.849879)
60608,23,43982,43988,65,1537,82,1940.5,484,5838,611,7370.7,0.1,0.3,3,51,3.8,64.4,79205,60608-23,POINT (-87.670366 41.849879)
60608,16,43933,43939,110,387,139,488.6,347,1142,438,1441.8,0.3,0.3,6,10,7.6,12.6,79205,60608-16,POINT (-87.670366 41.849879)
60608,22,43975,43981,96,1472,121,1858.5,579,5354,731,6759.7,0.2,0.3,6,48,7.6,60.6,79205,60608-22,POINT (-87.670366 41.849879)
60608,12,43905,43911,13,15,16,18.9,87,98,110,123.7,0.1,0.2,0,0,0,0,79205,60608-12,POINT (-87.670366 41.849879)
60608,17,43940,43946,172,559,217,705.8,475,1617,600,2041.5,0.4,0.3,6,16,7.6,20.2,79205,60608-17,POINT (-87.670366 41.849879)
60608,25,43996,44002,22,1591,28,2008.7,676,7227,854,9124.4,0,0.2,6,66,7.6,83.3,79205,60608-25,POINT (-87.670366 41.849879)
60608,21,43968,43974,133,1376,168,1737.3,764,4775,965,6028.7,0.2,0.3,5,42,6.3,53,79205,60608-21,POINT (-87.670366 41.849879)
60608,18,43947,43953,317,876,400,1106,927,2544,1170,3211.9,0.3,0.3,9,25,11.4,31.6,79205,60608-18,POINT (-87.670366 41.849879)
60608,13,43912,43918,76,91,96,114.9,196,294,248,371.2,0.4,0.3,0,0,0,0,79205,60608-13,POINT (-87.670366 41.849879)
60609,19,43954,43960,176,915,286,1487.9,549,2492,893,4052.4,0.3,0.4,8,32,13,52,61495,60609-19,POINT (-87.653382 41.812017)
60609,23,43982,43988,47,1483,76,2411.6,415,5218,675,8485.2,0.1,0.3,5,60,8.1,97.6,61495,60609-23,POINT (-87.653382 41.812017)
60609,18,43947,43953,243,739,395,1201.7,642,1943,1044,3159.6,0.4,0.4,6,24,9.8,39,61495,60609-18,POINT (-87.653382 41.812017)
60609,13,43912,43918,46,61,75,99.2,131,198,213,322,0.4,0.3,0,0,0,0,61495,60609-13,POINT (-87.653382 41.812017)
60609,22,43975,43981,114,1436,185,2335.1,667,4803,1085,7810.4,0.2,0.3,6,55,9.8,89.4,61495,60609-22,POINT (-87.653382 41.812017)
60609,14,43919,43925,48,109,78,177.3,143,341,232,554.5,0.3,0.3,3,3,4.9,4.9,61495,60609-14,POINT (-87.653382 41.812017)
60609,15,43926,43932,72,181,117,294.3,190,531,309,863.5,0.4,0.3,2,5,3.3,8.1,61495,60609-15,POINT (-87.653382 41.812017)
60609,25,43996,44002,22,1539,36,2502.6,419,6080,681,9887,0.1,0.3,4,66,6.5,107.3,61495,60609-25,POINT (-87.653382 41.812017)
60609,21,43968,43974,200,1322,325,2149.8,805,4136,1309,6725.8,0.2,0.3,6,49,9.8,79.7,61495,60609-21,POINT (-87.653382 41.812017)
60609,16,43933,43939,125,306,203,497.6,284,815,462,1325.3,0.4,0.4,5,10,8.1,16.3,61495,60609-16,POINT (-87.653382 41.812017)
60609,20,43961,43967,207,1122,337,1824.5,839,3331,1364,5416.7,0.2,0.3,11,43,17.9,69.9,61495,60609-20,POINT (-87.653382 41.812017)
60609,24,43989,43995,34,1517,55,2466.9,443,5661,720,9205.6,0.1,0.3,2,62,3.3,100.8,61495,60609-24,POINT (-87.653382 41.812017)
60609,17,43940,43946,190,496,309,806.6,486,1301,790,2115.6,0.4,0.4,8,18,13,29.3,61495,60609-17,POINT (-87.653382 41.812017)
60609,12,43905,43911,13,15,21,24.4,60,67,98,109,0.2,0.2,0,0,0,0,61495,60609-12,POINT (-87.653382 41.812017)
60610,20,43961,43967,25,191,64,489.5,347,1382,889,3541.9,0.1,0.1,0,4,0,10.3,39019,60610-20,POINT (-87.63581 41.90455)
60610,24,43989,43995,4,239,10,612.5,334,2608,856,6683.9,0,0.1,1,7,2.6,17.9,39019,60610-24,POINT (-87.63581 41.90455)
60610,14,43919,43925,21,80,54,205,81,284,208,727.9,0.3,0.3,0,0,0,0,39019,60610-14,POINT (-87.63581 41.90455)
60610,15,43926,43932,15,95,38,243.5,102,386,261,989.3,0.1,0.2,1,1,2.6,2.6,39019,60610-15,POINT (-87.63581 41.90455)
60610,19,43954,43960,21,166,54,425.4,215,1035,551,2652.6,0.1,0.2,1,4,2.6,10.3,39019,60610-19,POINT (-87.63581 41.90455)
60610,23,43982,43988,7,235,18,602.3,284,2274,728,5827.9,0,0.1,1,6,2.6,15.4,39019,60610-23,POINT (-87.63581 41.90455)
60610,16,43933,43939,12,107,31,274.2,111,497,284,1273.7,0.1,0.2,0,1,0,2.6,39019,60610-16,POINT (-87.63581 41.90455)
60610,22,43975,43981,15,228,38,584.3,280,1990,718,5100.1,0.1,0.1,0,5,0,12.8,39019,60610-22,POINT (-87.63581 41.90455)
60610,17,43940,43946,20,127,51,325.5,151,648,387,1660.7,0.1,0.2,2,3,5.1,7.7,39019,60610-17,POINT (-87.63581 41.90455)
60610,12,43905,43911,22,26,56,66.6,78,96,200,246,0.3,0.3,0,0,0,0,39019,60610-12,POINT (-87.63581 41.90455)
60610,25,43996,44002,7,246,18,630.5,347,2955,889,7573.2,0,0.1,1,8,2.6,20.5,39019,60610-25,POINT (-87.63581 41.90455)
60610,21,43968,43974,22,213,56,545.9,328,1710,841,4382.5,0.1,0.1,1,5,2.6,12.8,39019,60610-21,POINT (-87.63581 41.90455)
60610,18,43947,43953,18,145,46,371.6,172,820,441,2101.5,0.1,0.2,0,3,0,7.7,39019,60610-18,POINT (-87.63581 41.90455)
60610,13,43912,43918,33,59,85,151.2,107,203,274,520.3,0.3,0.3,0,0,0,0,39019,60610-13,POINT (-87.63581 41.90455)
60611,19,43954,43960,6,90,18,277.6,226,1036,697,3195,0,0.1,1,2,3.1,6.2,32426,60611-19,POINT (-87.620291 41.894734)
60611,18,43947,43953,10,84,31,259.1,224,810,691,2498,0,0.1,0,1,0,3.1,32426,60611-18,POINT (-87.620291 41.894734)
60611,23,43982,43988,7,124,22,382.4,232,2043,716,6300.5,0,0.1,0,2,0,6.2,32426,60611-23,POINT (-87.620291 41.894734)
60611,13,43912,43918,21,36,65,111,119,215,367,663,0.2,0.2,0,0,0,0,32426,60611-13,POINT (-87.620291 41.894734)
60611,22,43975,43981,11,117,34,360.8,283,1811,873,5585,0,0.1,0,2,0,6.2,32426,60611-22,POINT (-87.620291 41.894734)
60611,14,43919,43925,14,50,43,154.2,72,287,222,885.1,0.2,0.2,0,0,0,0,32426,60611-14,POINT (-87.620291 41.894734)
60611,25,43996,44002,5,133,15,410.2,309,2663,953,8212.5,0,0,1,3,3.1,9.3,32426,60611-25,POINT (-87.620291 41.894734)
60611,15,43926,43932,7,57,22,175.8,60,347,185,1070.1,0.1,0.2,0,0,0,0,32426,60611-15,POINT (-87.620291 41.894734)
60611,21,43968,43974,7,106,22,326.9,248,1528,765,4712.3,0,0.1,0,2,0,6.2,32426,60611-21,POINT (-87.620291 41.894734)
60611,16,43933,43939,9,66,28,203.5,104,451,321,1390.9,0.1,0.1,0,0,0,0,32426,60611-16,POINT (-87.620291 41.894734)
60611,20,43961,43967,9,99,28,305.3,244,1280,752,3947.4,0,0.1,0,2,0,6.2,32426,60611-20,POINT (-87.620291 41.894734)
60611,24,43989,43995,4,128,12,394.7,311,2354,959,7259.6,0,0.1,0,2,0,6.2,32426,60611-24,POINT (-87.620291 41.894734)
60611,17,43940,43946,8,74,25,228.2,135,586,416,1807.2,0.1,0.1,1,1,3.1,3.1,32426,60611-17,POINT (-87.620291 41.894734)
60611,12,43905,43911,14,15,43,46.3,84,96,259,296.1,0.2,0.2,0,0,0,0,32426,60611-12,POINT (-87.620291 41.894734)
60612,20,43961,43967,71,545,207,1588.4,419,2327,1221,6782.1,0.2,0.2,2,19,5.8,55.4,34311,60612-20,POINT (-87.687011 41.88004)
60612,14,43919,43925,50,128,146,373.1,164,454,478,1323.2,0.3,0.3,3,4,8.7,11.7,34311,60612-14,POINT (-87.687011 41.88004)
60612,24,43989,43995,9,660,26,1923.6,410,3621,1195,10553.5,0,0.2,1,26,2.9,75.8,34311,60612-24,POINT (-87.687011 41.88004)
60612,19,43954,43960,77,474,224,1381.5,357,1908,1040,5560.9,0.2,0.2,4,17,11.7,49.5,34311,60612-19,POINT (-87.687011 41.88004)
60612,15,43926,43932,67,195,195,568.3,246,700,717,2040.2,0.3,0.3,3,7,8.7,20.4,34311,60612-15,POINT (-87.687011 41.88004)
60612,23,43982,43988,21,651,61,1897.4,233,3211,679,9358.5,0.1,0.2,0,25,0,72.9,34311,60612-23,POINT (-87.687011 41.88004)
60612,22,43975,43981,24,630,70,1836.1,311,2978,906,8679.4,0.1,0.2,3,25,8.7,72.9,34311,60612-22,POINT (-87.687011 41.88004)
60612,16,43933,43939,60,255,175,743.2,228,928,664,2704.7,0.3,0.3,3,10,8.7,29.1,34311,60612-16,POINT (-87.687011 41.88004)
60612,12,43905,43911,19,19,55,55.4,96,107,280,311.9,0.2,0.2,0,0,0,0,34311,60612-12,POINT (-87.687011 41.88004)
60612,17,43940,43946,79,334,230,973.4,287,1215,836,3541.1,0.3,0.3,1,11,2.9,32.1,34311,60612-17,POINT (-87.687011 41.88004)
60612,21,43968,43974,61,606,178,1766.2,340,2667,991,7773,0.2,0.2,3,22,8.7,64.1,34311,60612-21,POINT (-87.687011 41.88004)
60612,25,43996,44002,7,667,20,1944,291,3912,848,11401.6,0,0.2,0,26,0,75.8,34311,60612-25,POINT (-87.687011 41.88004)
60612,13,43912,43918,59,78,172,227.3,183,290,533,845.2,0.3,0.3,1,1,2.9,2.9,34311,60612-13,POINT (-87.687011 41.88004)
60612,18,43947,43953,63,397,184,1157.1,336,1551,979,4520.4,0.2,0.3,2,13,5.8,37.9,34311,60612-18,POINT (-87.687011 41.88004)
60613,19,43954,43960,29,292,58,582.7,231,1313,461,2620.1,0.1,0.2,8,20,16,39.9,50113,60613-19,POINT (-87.661343 41.953742)
60613,18,43947,43953,60,263,120,524.8,268,1082,535,2159.1,0.2,0.2,1,12,2,23.9,50113,60613-18,POINT (-87.661343 41.953742)
60613,13,43912,43918,31,57,62,113.7,118,212,236,423,0.3,0.3,0,0,0,0,50113,60613-13,POINT (-87.661343 41.953742)
60613,23,43982,43988,12,339,24,676.5,314,2500,627,4988.7,0,0.1,1,28,2,55.9,50113,60613-23,POINT (-87.661343 41.953742)
60613,22,43975,43981,7,327,14,652.5,323,2186,644,4362.1,0,0.2,3,27,6,53.9,50113,60613-22,POINT (-87.661343 41.953742)
60613,14,43919,43925,50,107,100,213.5,130,342,259,682.5,0.4,0.3,1,1,2,2,50113,60613-14,POINT (-87.661343 41.953742)
60613,21,43968,43974,13,320,26,638.6,298,1863,595,3717.6,0,0.2,1,24,2,47.9,50113,60613-21,POINT (-87.661343 41.953742)
60613,15,43926,43932,31,138,62,275.4,127,469,253,935.9,0.2,0.3,4,5,8,10,50113,60613-15,POINT (-87.661343 41.953742)
60613,25,43996,44002,6,351,12,700.4,490,3568,978,7119.9,0,0.1,1,29,2,57.9,50113,60613-25,POINT (-87.661343 41.953742)
60613,20,43961,43967,15,307,30,612.6,252,1565,503,3122.9,0.1,0.2,3,23,6,45.9,50113,60613-20,POINT (-87.661343 41.953742)
